session_id	start_time	sec	min	category	events
01041927d4221e2-5a0e-4fda-998a-f86835cf720a_19	30.08.2019 18:27	142	2	Coding, rd	actions_CompileDirty , toolbar_CompileDirty , actions_Maven.ReimportProject , build.maven.actions_ReimportProjectAction , actions_GotoDeclaration , productivity_navigation.goto.declaration , actions_GotoDeclaration , productivity_navigation.goto.declaration , file.types.usage_XML , actions_GotoDeclaration , productivity_navigation.goto.declaration , actions_GotoDeclaration , productivity_navigation.goto.declaration , actions_GotoDeclaration , productivity_navigation.goto.declaration , file.types.usage_XML , actions_GotoDeclaration , productivity_navigation.goto.declaration , productivity_navigation.goto.implementation , actions_GotoImplementation , toolbar_RunConfiguration , actions_com.intellij.execution.actions.RunConfigurationsComboBoxAction$SelectConfigAction , actions_com.intellij.execution.ExecutorRegistryImpl$ExecutorAction , toolbar_com.intellij.execution.ExecutorRegistryImpl$ExecutorAction , run.configuration.exec_JUnit , toolwindow_Run , actions_GotoDeclaration , productivity_navigation.goto.declaration , actions_GotoDeclaration , productivity_navigation.goto.declaration , actions_GotoDeclaration , productivity_navigation.goto.declaration , file.types.usage_XML , actions_GotoDeclaration , productivity_navigation.goto.declaration , actions_GotoDeclaration , productivity_navigation.goto.declaration , actions_GotoDeclaration , productivity_navigation.goto.declaration , actions_GotoDeclaration , productivity_navigation.goto.declaration , file.types.usage_XML , actions_GotoDeclaration , productivity_navigation.goto.declaration , file.types.usage_XML , actions_GotoDeclaration , productivity_navigation.goto.declaration , file.types.usage_XML
0104192f8ca86bf-02b2-461c-9fcb-e5f6423104c8_13	30.08.2019 4:54	52	0	Coding	actions_SearchEverywhere , searchEverywhere_dialogOpen , toolbar_SearchEverywhere , searchEverywhere_contributorItemChosen , file.types.usage_HOCON , searchEverywhere_dialogOpen , actions_SearchEverywhere , toolbar_SearchEverywhere , searchEverywhere_contributorItemChosen , file.types.usage_HOCON , actions_SearchEverywhere , searchEverywhere_dialogOpen , toolbar_SearchEverywhere , actions_EditorPaste , searchEverywhere_contributorItemChosen , file.types.usage_XML
08051928da7dde4-de91-4beb-9e46-6acd6c4a8e8d_12	29.08.2019 12:26	782	13	Coding, RD	actions_HideActiveWindow , toolwindow_Project , toolbar_HideActiveWindow , actions_EditorEnter , actions_EditorUp , file.types.usage_Cucumber , actions_EditorBackSpace , actions_ReformatCode , actions_EditorBackSpace , actions_EditorCopy , actions_EditorEnter , actions_EditorPaste , productivity_editing.select.word , file.types.usage_Cucumber , actions_EditorUpWithSelection , actions_EditorBackSpace , productivity_editing.select.word , file.types.usage_JAVA , actions_RunClass , run.configuration.exec_JUnit , toolwindow_Run , actions_HideActiveWindow , toolbar_HideActiveWindow , actions_EditorBackSpace
0104192acac6527-6210-44f0-88ec-d471a1926726_19	28.08.2019 22:27	510	8	VCS, Ide close	actions_Git.Stash , ui.dialogs_git4idea.ui.GitStashDialog , ui.dialogs_git4idea.ui.GitStashDialog , actions_CheckinFiles , ui.dialogs_com.intellij.openapi.vcs.changes.ui.DefaultCommitChangeListDialog , file.types.usage_PLAIN_TEXT , actions_EditorBackSpace , ui.dialogs_com.intellij.openapi.vcs.changes.ui.DefaultCommitChangeListDialog , actions_Stop , toolbar_Stop , toolwindow_third.party , run.configuration.exec_MavenRunConfiguration , toolwindow_Run , toolwindow_third.party , run.configuration.exec_MavenRunConfiguration , toolwindow_Run , toolwindow_third.party , lifecycle_ide.close , lifecycle_project.closed , lifecycle_project.closed
0304191dd90cc49-6b9d-4f33-9ee3-62725a910d01_6	28.08.2019 9:32	37	0	Coding, rd	actions_EditorPaste , productivity_editing.select.word , actions_EditorCut , file.types.usage_Python , productivity_editing.select.word , actions_EditorPaste , actions_EditorCut , productivity_editing.select.word , actions_EditorPaste , actions_EditorBackSpace , actions_SaveAll , actions_com.intellij.execution.actions.RunContextAction , run.configuration.exec_PythonConfigurationType , toolwindow_Run , actions_EditorCopy , actions_EditorPaste , actions_SaveAll , actions_com.intellij.execution.actions.RunContextAction , run.configuration.exec_PythonConfigurationType , toolwindow_Run , actions_EditorCopy
040419224d3103f-de64-4f22-b13b-97358de2a0a9_1	27.08.2019 21:18	40	0	Coding, RD	actions_SearchEverywhere , searchEverywhere_dialogOpen , actions_DoubleShortcut , actions_EditorPaste , searchEverywhere_dialogOpen , actions_SearchEverywhere , actions_DoubleShortcut , actions_com.intellij.openapi.project.DumbAwareAction$1 , searchEverywhere_contributorItemChosen , file.types.usage_JAVA , toolwindow_Debug
0204191ec36e1dd-8fa7-4eee-87a1-1c20ba65c76c_1	26.08.2019 7:31	730	12	RD, Coding, vcs	toolwindow_Run_Dashboard , actions_com.intellij.execution.impl.ConsoleViewImpl$ClearThisConsoleAction , toolbar_com.intellij.execution.impl.ConsoleViewImpl$ClearThisConsoleAction , toolbar_com.intellij.execution.impl.ConsoleViewImpl$ClearThisConsoleAction , actions_com.intellij.execution.impl.ConsoleViewImpl$ClearThisConsoleAction , toolbar_com.intellij.execution.impl.ConsoleViewImpl$ClearThisConsoleAction , actions_com.intellij.execution.impl.ConsoleViewImpl$ClearThisConsoleAction , actions_Replace , actions_EditorPaste , actions_FindInPath , ui.dialogs_com.intellij.find.impl.FindPopupPanel$2 , actions_EditorPaste , ui.dialogs_com.intellij.find.impl.FindPopupPanel$2 , file.types.usage_JAVA , ui.dialogs_com.intellij.find.impl.FindPopupPanel$2 , actions_FindInPath , ui.dialogs_com.intellij.find.impl.FindPopupPanel$2 , ui.dialogs_com.intellij.find.impl.FindPopupPanel$2 , actions_GotoDeclaration , file.types.usage_JAVA , ui.dialogs_com.intellij.openapi.vcs.readOnlyHandler.ReadOnlyStatusDialog , ui.dialogs_com.intellij.openapi.progress.util.ProgressDialog$MyDialogWrapper , ui.dialogs_com.intellij.openapi.progress.util.ProgressDialog$MyDialogWrapper , ui.dialogs_com.intellij.openapi.ui.messages.MessageDialog , ui.dialogs_com.intellij.openapi.vcs.readOnlyHandler.ReadOnlyStatusDialog , actions_EditorCut , actions_$Undo , actions_EditorCopy , actions_GotoDeclaration , ui.dialogs_com.intellij.openapi.ui.messages.MessageDialog , actions_GotoDeclaration , ui.dialogs_com.intellij.openapi.ui.messages.MessageDialog , actions_$Undo
0405192fd9c2ae8-8caa-4c2c-91c5-138caccb6160_0	26.08.2019 6:22	2	0	Ide close	lifecycle_project.closed , lifecycle_ide.close
08041934e0c21c6-1fc2-4399-819a-7f079a06df97_18	30.08.2019 4:26	253	4	Terminal, VCS	toolwindow_Terminal , terminalShell_local.exec , toolwindow_Project , file.types.usage_PLAIN_TEXT , file.types.usage_PLAIN_TEXT , toolwindow_Terminal , actions_CheckinProject , ui.dialogs_com.intellij.openapi.vcs.changes.ui.CommitChangeListDialog , ui.dialogs_com.intellij.openapi.ui.messages.MessageDialog , ui.dialogs_com.intellij.openapi.ui.WindowWrapperBuilder$DialogWindowWrapper$MyDialogWrapper , ui.dialogs_com.intellij.openapi.ui.WindowWrapperBuilder$DialogWindowWrapper$MyDialogWrapper , ui.dialogs_com.intellij.openapi.ui.WindowWrapperBuilder$DialogWindowWrapper$MyDialogWrapper , ui.dialogs_com.intellij.openapi.ui.WindowWrapperBuilder$DialogWindowWrapper$MyDialogWrapper , ui.dialogs_com.intellij.openapi.vcs.changes.ui.CommitChangeListDialog , actions_Git.ResolveConflicts , ui.dialogs_com.intellij.openapi.vcs.merge.MultipleFileMergeDialog , ui.dialogs_com.intellij.diff.merge.MergeWindow$MyDialog , ui.dialogs_com.intellij.diff.merge.MergeWindow$MyDialog , ui.dialogs_com.intellij.diff.merge.MergeWindow$MyDialog , ui.dialogs_com.intellij.openapi.ui.messages.MessageDialog , ui.dialogs_com.intellij.diff.merge.MergeWindow$MyDialog , ui.dialogs_com.intellij.diff.merge.MergeWindow$MyDialog , ui.dialogs_com.intellij.openapi.ui.messages.MessageDialog , ui.dialogs_com.intellij.diff.merge.MergeWindow$MyDialog , ui.dialogs_com.intellij.openapi.vcs.merge.MultipleFileMergeDialog , actions_CheckinProject , ui.dialogs_com.intellij.openapi.vcs.changes.ui.CommitChangeListDialog , ui.dialogs_com.intellij.openapi.vcs.changes.ui.CommitChangeListDialog , actions_Vcs.Push , ui.dialogs_com.intellij.dvcs.push.ui.VcsPushDialog , ui.dialogs_com.intellij.dvcs.push.ui.VcsPushDialog
1104191cde8e0f0-6a33-4ad0-a5a6-b3c829b6f8df_8	30.08.2019 8:38	265	4	Ide start, terminal, coding	event.log_whitelist.loaded , lifecycle_ide.start , ui.dialogs_com.intellij.openapi.progress.util.ProgressDialog$MyDialogWrapper , lifecycle_project.opened , toolwindow_Terminal , terminalShell_local.exec , ui.dialogs_com.intellij.openapi.progress.util.ProgressDialog$MyDialogWrapper , lifecycle_project.opening.finished , actions_com.intellij.ide.ReopenProjectAction , ui.dialogs_com.intellij.openapi.ui.messages.MessageDialog , lifecycle_project.opened , ui.dialogs_com.intellij.openapi.progress.util.ProgressDialog$MyDialogWrapper , ui.dialogs_com.intellij.openapi.progress.util.ProgressDialog$MyDialogWrapper , lifecycle_project.opening.finished , toolwindow_Terminal , terminalShell_local.exec , toolwindow_Terminal , ui.dialogs_com.intellij.openapi.ui.messages.MessageDialog , actions_Progress_Paused , actions_Progress_Resumed , actions_Progress_Paused , actions_Progress_Resumed , toolwindow_Project , ui.dialogs_com.intellij.openapi.ui.messages.MessageDialog , actions_$Delete , ui.dialogs_com.intellij.openapi.ui.messages.MessageDialog , actions_com.intellij.openapi.ui.DialogWrapper$5 , actions_Tree-selectParent , actions_FindInPath , find_FindInPath.FileFilterOn , ui.dialogs_com.intellij.find.impl.FindPopupPanel$2 , toolbar_com.intellij.find.impl.FindPopupPanel$MySelectScopeToggleAction , actions_com.intellij.find.impl.FindPopupPanel$MySelectScopeToggleAction , actions_$SelectAll , actions_EditorBackSpace , actions_com.intellij.ui.ScrollingUtil$11 , actions_com.intellij.ui.ScrollingUtil$12 , actions_com.intellij.ui.ScrollingUtil$11 , actions_com.intellij.ui.ScrollingUtil$12 , actions_com.intellij.ui.ScrollingUtil$11 , actions_com.intellij.ui.ScrollingUtil$12 , actions_com.intellij.ui.ScrollingUtil$11 , actions_com.intellij.ui.ScrollingUtil$12 , actions_com.intellij.ui.ScrollingUtil$11 , js.language.service.starts_VueTypeScriptService , actions_com.intellij.ui.ScrollingUtil$11 , actions_com.intellij.ui.ScrollingUtil$12 , actions_com.intellij.ui.ScrollingUtil$11 , actions_com.intellij.find.impl.FindPopupPanel$MyEnterAction , ui.dialogs_com.intellij.find.impl.FindPopupPanel$2 , file.types.usage_TypeScript , ui.dialogs_com.intellij.find.impl.FindPopupPanel$2 , actions_GotoDeclaration , productivity_navigation.goto.declaration , file.types.usage_Vue.js , actions_GotoDeclaration , productivity_navigation.goto.declaration , lifecycle_project.closed
0104191caf974e5-a295-40b9-a321-6fab335cfbb2_18	30.08.2019 13:13	46	0	Coding	actions_FindInPath , find_FindInPath.WholeWordsOn , find_FindInPath.MatchCaseOn , ui.dialogs_com.intellij.find.impl.FindPopupPanel$2 , actions_EditorPaste , actions_EditorBackSpace , ui.dialogs_com.intellij.find.impl.FindPopupPanel$2 , actions_com.intellij.find.impl.FindPopupPanel$MyEnterAction , file.types.usage_JAVA , ui.dialogs_com.intellij.find.impl.FindPopupPanel$2 , actions_EditorLineEnd , actions_EditorDown , actions_EditorEnter , file.types.usage_JAVA , actions_EditorBackSpace , actions_CodeCompletion , productivity_editing.completion.basic , actions_EditorEscape , actions_EditorDeleteLine , productivity_editor.delete.line , actions_EditorLineEnd , actions_EditorLeft , actions_EditorLeft , actions_ParameterInfo , actions_EditorBackSpace , actions_EditorLineEnd , actions_EditorEnter , actions_$Undo , actions_EditorLeft , actions_EditorBackSpace , actions_EditorEnter , actions_EditorBackSpace , actions_EditorBackSpace , actions_CodeCompletion , productivity_editing.completion.basic , actions_EditorEscape , actions_$Undo
04041931770ff0e-f581-43ad-be59-049461d7e5ba_14	28.08.2019 19:51	14	0	Coding	actions_GotoClass , productivity_SearchEverywhere , searchEverywhere_dialogOpen , actions_com.intellij.ui.ScrollingUtil$5 , actions_third.party , file.types.usage_CLASS , ui.dialogs_com.intellij.openapi.progress.util.ProgressDialog$MyDialogWrapper , ui.dialogs_com.intellij.openapi.progress.util.ProgressDialog$MyDialogWrapper , file.types.usage_JAVA , actions_Find , actions_NextOccurence
060419205b83a57-93b3-4bf6-93e4-72dc76ac5674_1	26.08.2019 3:28	268	4	Coding	file.types.usage_Scala , actions_EditorRight , actions_EditorBackSpace , file.types.usage_Scala , actions_EditorDown , actions_EditorRight , actions_EditorBackSpace , actions_EditorDown , actions_EditorRight , actions_EditorBackSpace , actions_EditorDown , actions_EditorLeft , actions_EditorDown , actions_EditorRight , actions_EditorBackSpace , actions_EditorDown , actions_EditorRight , actions_EditorDown , actions_EditorRight , actions_EditorLeft , actions_EditorBackSpace , actions_EditorDown , actions_EditorRight , actions_EditorBackSpace , actions_EditorRight , actions_EditorBackSpace , actions_EditorDown , actions_EditorLeft , actions_EditorRight , actions_EditorBackSpace , actions_EditorRight , actions_EditorBackSpace , actions_EditorDown , actions_EditorRight , actions_EditorBackSpace , actions_EditorBackSpace , file.types.usage_Scala , actions_EditorRight , actions_EditorBackSpace , actions_EditorRight , actions_EditorBackSpace , actions_EditorDown , actions_CollapseAllRegions , actions_CollapseRegion , actions_CollapseAllRegions , productivity_editing.select.word , actions_EditorBackSpace , actions_EditorDelete , actions_EditorLineEnd , actions_EditorBackSpace , productivity_editing.select.word , actions_EditorBackSpace , actions_EditorDelete , productivity_editing.select.word , actions_EditorBackSpace , actions_EditorDelete , actions_EditorLeft , actions_EditorRightWithSelection , actions_EditorBackSpace , actions_EditorDown , actions_EditorRight , actions_EditorBackSpace , actions_EditorRight , actions_EditorBackSpace , file.types.usage_Scala , actions_EditorUp , actions_ShowIntentionActions , intentions_com.jetbrains.clones.languagescope.common.NavigateToDuplicateFix , actions_ShowIntentionActions , actions_EditorLeft , actions_EditorBackSpace , file.types.usage_TypeScript , actions_EditorBackSpace , actions_EditorUp , file.types.usage_TypeScript , actions_EditorDown , actions_SaveAll
0205192423b117e-d0a8-42c1-8e66-b8f0a2bdb5eb_5	28.08.2019 8:03	110	1	VCS, RD, ide close, ide start	actions_Vcs.UpdateProject , ui.dialogs_com.intellij.openapi.vcs.update.ActionInfo$1$1 , ui.dialogs_com.intellij.openapi.vcs.update.ActionInfo$1$1 , toolbar_Vcs.UpdateProject , file.types.usage_JAVA , actions_com.intellij.execution.lineMarker.ExecutorAction , run.configuration.exec_TestNG , toolwindow_Run , actions_Stop , toolbar_Stop , actions_CheckForUpdate , ui.dialogs_com.intellij.openapi.updateSettings.impl.PluginUpdateInfoDialog , ui.dialogs_com.intellij.openapi.updateSettings.impl.PluginUpdateInfoDialog , ui.dialogs_com.intellij.openapi.progress.util.ProgressDialog$MyDialogWrapper , ui.dialogs_com.intellij.openapi.progress.util.ProgressDialog$MyDialogWrapper , lifecycle_ide.close , lifecycle_project.closed , lifecycle_project.closed , event.log_whitelist.loaded , lifecycle_ide.start , ui.dialogs_com.intellij.openapi.progress.util.ProgressDialog$MyDialogWrapper , lifecycle_project.opened , ui.dialogs_com.intellij.openapi.progress.util.ProgressDialog$MyDialogWrapper , ui.dialogs_com.intellij.openapi.progress.util.ProgressDialog$MyDialogWrapper , lifecycle_project.opened , toolwindow_Version_Control , ui.dialogs_com.intellij.openapi.progress.util.ProgressDialog$MyDialogWrapper , lifecycle_project.opening.finished , lifecycle_project.opening.finished
04041924bb16cf7-b8d4-4118-aef2-4d33a6cfd55d_5	30.08.2019 9:42	13	0	ide start	event.log_whitelist.loaded , lifecycle_ide.start , ui.dialogs_com.intellij.openapi.progress.util.ProgressDialog$MyDialogWrapper , lifecycle_project.opened , toolwindow_Project , ui.dialogs_com.intellij.openapi.progress.util.ProgressDialog$MyDialogWrapper , lifecycle_project.opening.finished , kotlin.maven.target_jvm
08041923ce47acb-d2df-4c04-88de-69e1611be417_16	28.08.2019 3:54	127	2	coding, vcs	productivity_SearchEverywhere , searchEverywhere_dialogOpen , actions_GotoFile , actions_EditorLineStart , actions_EditorCutLineEnd , actions_com.intellij.openapi.project.DumbAwareAction$1 , productivity_navigation.popup.file.structure , actions_FileStructurePopup , productivity_ui.tree.speedsearch , productivity_navigation.popup.file.structure , actions_FileStructurePopup , productivity_ui.tree.speedsearch , actions_com.intellij.ide.util.FileStructurePopup$6 , actions_GotoImplementation , productivity_navigation.goto.implementation , file.types.usage_JAVA , actions_Annotate , actions_com.intellij.openapi.editor.impl.EditorGutterComponentImpl$CloseAnnotationsAction , actions_Back , vcs.back.forward.trigger_editor , actions_Annotate , actions_com.intellij.openapi.editor.impl.EditorGutterComponentImpl$CloseAnnotationsAction , productivity_navigation.goto.implementation , actions_GotoImplementation , file.types.usage_JAVA , actions_Back , vcs.back.forward.trigger_editor , actions_Annotate , actions_com.intellij.openapi.editor.impl.EditorGutterComponentImpl$CloseAnnotationsAction , actions_GotoImplementation , productivity_navigation.goto.implementation , file.types.usage_JAVA , actions_Annotate , actions_com.intellij.openapi.editor.impl.EditorGutterComponentImpl$CloseAnnotationsAction , actions_Back , vcs.back.forward.trigger_editor , vcs.back.forward.trigger_editor , actions_Back
